State,State_abbr,FIPS,APIS_date,alcohol_togo_APIS_bars,alcohol_togo_APIS_rest,Spirits_togo_NABCA_bars,Spirits_togo_NABCA_rest,Doug's Notes for Differneces,Suggested_code_bar,Suggested_code_rest,UID,SID,SchoolName,BarName,RC_Masks_customer,RC_Masks_staff,RC_distance,Drink_Specials,alcohol_togo,Beer_Price,Vodka_price,Cigarettes_inside,Ecig_inside,City,togo_cat_raw,alcohol to-go Mixed Drinks Beer Wine,beer,wine,mixed_drinks,NABCA_spirits_bars,NABCA_spirits_rest
Alabama,AL,1,9/15/2020,0,0,Yes,Yes,"Appears to be due to timing of collection, APIS likely more accurate",0,0,142,4,University of Alabama,Rounders,,,,,,,,,,Tuscaloosa,,,,,,1,1
Alabama,AL,1,9/15/2020,0,0,Yes,Yes,"Appears to be due to timing of collection, APIS likely more accurate",0,0,198,63,Auburn University,Derailed Bar & Grill,,,,,,,,,,Auburn,,,,,,1,1
Alabama,AL,1,9/15/2020,0,0,Yes,Yes,"Appears to be due to timing of collection, APIS likely more accurate",0,0,413,4,University of Alabama,Green Bar,,,,,,,,,,Tuscaloosa,,,,,,1,1
Alabama,AL,1,9/15/2020,0,0,Yes,Yes,"Appears to be due to timing of collection, APIS likely more accurate",0,0,467,63,Auburn University,Quitoxes,,,,,,,,,,Auburn,,,,,,1,1
Alaska,AK,2,5/22/2020,1,1,Yes,Yes,,1,1,5,5,University of Alaska Southeast,Sandbar & Grill,1,1,1,0,0,4,5.5,0,0,Juneau,,N/A,0,0,0,1,1
Alaska,AK,2,5/22/2020,1,1,Yes,Yes,,1,1,117,123,University of Alaska Anchorage,Timeout Lounge,1,1,0,0,0,5,4.5,0,0,Anchorage,,,0,0,0,1,1
Alaska,AK,2,5/22/2020,1,1,Yes,Yes,,1,1,140,2,University of Alaska Fairbanks,Red Fox Bar & Grill,,,,,,,,,,Fairbanks,,,,,,1,1
Alaska,AK,2,5/22/2020,1,1,Yes,Yes,,1,1,143,5,University of Alaska Southeast,Squires Rest,1,1,1,0,0,6.5,5,0,0,Juneau,,,0,0,0,1,1
Alaska,AK,2,5/22/2020,1,1,Yes,Yes,,1,1,258,123,University of Alaska Anchorage,Blue Fox,1,1,1,0,0,4,5.5,0,0,Anchorage,,,0,0,0,1,1
Alaska,AK,2,5/22/2020,1,1,Yes,Yes,,1,1,282,2,University of Alaska Fairbanks,Mecca Bar,0,0,0,0,0,3.5,4,0,0,Fairbanks,,N/A,0,0,0,1,1
